column_name;data_type;total_rows;missing_count;missing_percentage;non_missing_count
tmtb01_wais4;numerical;4051;0;0.0;4051
tmtb01a_wais4;numerical;4051;0;0.0;4051
tmtb01b_wais4;numerical;4051;0;0.0;4051
tmtb04_wais4;numerical;4051;0;0.0;4051
tmtb02b_wais4;numerical;4051;0;0.0;4051
tmtba01_wais4;numerical;4051;0;0.0;4051
tmtba01a_wais4;numerical;4051;0;0.0;4051
tmtba01b_wais4;numerical;4051;0;0.0;4051
tmtba02_wais4;numerical;4051;0;0.0;4051
tmtba02b_wais4;numerical;4051;0;0.0;4051
strooa01_wais4;numerical;4051;0;0.0;4051
strooa02_wais4;numerical;4051;0;0.0;4051
strooa05_wais4;numerical;4051;0;0.0;4051
strooa06_wais4;numerical;4051;0;0.0;4051
stroob01_wais4;numerical;4051;0;0.0;4051
stroob02_wais4;numerical;4051;0;0.0;4051
stroob05_wais4;numerical;4051;0;0.0;4051
stroob06_wais4;numerical;4051;0;0.0;4051
strooc01_wais4;numerical;4051;0;0.0;4051
strooc02_wais4;numerical;4051;0;0.0;4051
strooc04_wais4;numerical;4051;0;0.0;4051
msi08_wais4;categorical;4051;0;0.0;4051
