column_name;total_non_null;num_categories;most_frequent_value;most_frequent_count;most_frequent_percentage;distribution;percentage_distribution
cvlt16z_wais4;3973;8;0.0;132;3.32;{0.0: np.int64(132), 1.0: np.int64(15), 2.0: np.int64(145), 3.0: np.int64(413), 4.0: np.int64(597), 5.0: np.int64(394), 6.0: np.int64(10), 7.0: np.int64(2267)};{0.0: np.float64(3.32), 1.0: np.float64(0.38), 2.0: np.float64(3.65), 3.0: np.float64(10.4), 4.0: np.float64(15.03), 5.0: np.float64(9.92), 6.0: np.float64(0.25), 7.0: np.float64(57.06)}
cvlt17z_wais4;3951;8;0.0;154;3.9;{0.0: np.int64(154), 1.0: np.int64(18), 2.0: np.int64(165), 3.0: np.int64(558), 4.0: np.int64(339), 5.0: np.int64(4), 6.0: np.int64(6), 7.0: np.int64(2707)};{0.0: np.float64(3.9), 1.0: np.float64(0.46), 2.0: np.float64(4.18), 3.0: np.float64(14.12), 4.0: np.float64(8.58), 5.0: np.float64(0.1), 6.0: np.float64(0.15), 7.0: np.float64(68.51)}
cvlt18z_wais4;3464;10;0.0;268;7.74;{0.0: np.int64(268), 1.0: np.int64(95), 2.0: np.int64(6), 3.0: np.int64(455), 4.0: np.int64(46), 5.0: np.int64(503), 6.0: np.int64(53), 7.0: np.int64(408), 8.0: np.int64(6), 9.0: np.int64(1624)};{0.0: np.float64(7.74), 1.0: np.float64(2.74), 2.0: np.float64(0.17), 3.0: np.float64(13.14), 4.0: np.float64(1.33), 5.0: np.float64(14.52), 6.0: np.float64(1.53), 7.0: np.float64(11.78), 8.0: np.float64(0.17), 9.0: np.float64(46.88)}
tmta03_wais4;4011;5;0.0;3511;87.53;{0.0: np.int64(3511), 1.0: np.int64(454), 2.0: np.int64(40), 3.0: np.int64(5), 4.0: np.int64(1)};{0.0: np.float64(87.53), 1.0: np.float64(11.32), 2.0: np.float64(1.0), 3.0: np.float64(0.12), 4.0: np.float64(0.02)}
tmta04_wais4;4007;5;0.0;3799;94.81;{0.0: np.int64(3799), 1.0: np.int64(170), 2.0: np.int64(31), 3.0: np.int64(6), 4.0: np.int64(1)};{0.0: np.float64(94.81), 1.0: np.float64(4.24), 2.0: np.float64(0.77), 3.0: np.float64(0.15), 4.0: np.float64(0.02)}
tmta02a_wais4;4019;4;0.0;1925;47.9;{0.0: np.int64(1925), 1.0: np.int64(593), 2.0: np.int64(176), 3.0: np.int64(1325)};{0.0: np.float64(47.9), 1.0: np.float64(14.75), 2.0: np.float64(4.38), 3.0: np.float64(32.97)}
tmtb03_wais4;3979;10;0.0;3366;84.59;{0.0: np.int64(3366), 1.0: np.int64(478), 2.0: np.int64(101), 3.0: np.int64(21), 4.0: np.int64(5), 5.0: np.int64(2), 6.0: np.int64(2), 7.0: np.int64(2), 8.0: np.int64(1), 9.0: np.int64(1)};{0.0: np.float64(84.59), 1.0: np.float64(12.01), 2.0: np.float64(2.54), 3.0: np.float64(0.53), 4.0: np.float64(0.13), 5.0: np.float64(0.05), 6.0: np.float64(0.05), 7.0: np.float64(0.05), 8.0: np.float64(0.03), 9.0: np.float64(0.03)}
tmtb02a_wais4;4023;7;0.0;574;14.27;{0.0: np.int64(574), 1.0: np.int64(52), 2.0: np.int64(1491), 3.0: np.int64(23), 4.0: np.int64(776), 5.0: np.int64(1), 6.0: np.int64(1106)};{0.0: np.float64(14.27), 1.0: np.float64(1.29), 2.0: np.float64(37.06), 3.0: np.float64(0.57), 4.0: np.float64(19.29), 5.0: np.float64(0.02), 6.0: np.float64(27.49)}
tmtb05a_wais4;3499;5;0.0;223;6.37;{0.0: np.int64(223), 1.0: np.int64(8), 2.0: np.int64(2003), 3.0: np.int64(131), 4.0: np.int64(1134)};{0.0: np.float64(6.37), 1.0: np.float64(0.23), 2.0: np.float64(57.24), 3.0: np.float64(3.74), 4.0: np.float64(32.41)}
tmtba02a_wais4;3499;7;0.0;412;11.77;{0.0: np.int64(412), 1.0: np.int64(105), 2.0: np.int64(1202), 3.0: np.int64(12), 4.0: np.int64(685), 5.0: np.int64(1), 6.0: np.int64(1082)};{0.0: np.float64(11.77), 1.0: np.float64(3.0), 2.0: np.float64(34.35), 3.0: np.float64(0.34), 4.0: np.float64(19.58), 5.0: np.float64(0.03), 6.0: np.float64(30.92)}
